
[+] General Parameters:
Training data:	task3_train_norm.txt
Train-Validation split: 0.8
Feature vector representation: Dense.
Ranking method:	MART
Feature description file:	features.txt
Train metric:	NDCG@20
Test metric:	NDCG@20
Feature normalization: No

[+] MART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]... [Done.]            
(7033 ranked lists, 75057 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@20-T | NDCG@20-V | 
---------------------------------
184     | 0.7563    | 0.7478    | 
185     | 0.7564    | 0.7477    | 
186     | 0.7565    | 0.7476    | 
187     | 0.7564    | 0.7479    | 
188     | 0.7565    | 0.7479    | 
189     | 0.7566    | 0.7479    | 
190     | 0.7566    | 0.7478    | 
191     | 0.7565    | 0.7478    | 
192     | 0.7565    | 0.7479    | 
193     | 0.7565    | 0.7476    | 
194     | 0.7567    | 0.7478    | 
195     | 0.7567    | 0.7478    | 
196     | 0.7568    | 0.7477    | 
197     | 0.7568    | 0.7477    | 
198     | 0.7567    | 0.7477    | 
199     | 0.7567    | 0.7476    | 
200     | 0.7567    | 0.7478    | 
201     | 0.7566    | 0.7477    | 
202     | 0.7569    | 0.7477    | 
203     | 0.7571    | 0.7477    | 
204     | 0.7571    | 0.7477    | 
205     | 0.7573    | 0.7478    | 
206     | 0.7573    | 0.7478    | 
207     | 0.7573    | 0.7482    | 
208     | 0.7574    | 0.7479    | 
209     | 0.7573    | 0.7481    | 
210     | 0.7575    | 0.7481    | 
211     | 0.7578    | 0.7479    | 
212     | 0.7577    | 0.7482    | 
213     | 0.7579    | 0.7481    | 
214     | 0.7577    | 0.748     | 
215     | 0.7581    | 0.7481    | 
216     | 0.758     | 0.7479    | 
217     | 0.7579    | 0.7478    | 
218     | 0.7579    | 0.748     | 
219     | 0.758     | 0.7484    | 
220     | 0.7581    | 0.7484    | 
221     | 0.758     | 0.7484    | 
222     | 0.7581    | 0.7487    | 
223     | 0.7581    | 0.749     | 
224     | 0.758     | 0.7489    | 
225     | 0.758     | 0.7489    | 
226     | 0.758     | 0.7489    | 
227     | 0.7585    | 0.749     | 
228     | 0.7586    | 0.749     | 
229     | 0.7586    | 0.749     | 
230     | 0.7587    | 0.7489    | 
231     | 0.7587    | 0.7489    | 
232     | 0.7588    | 0.7486    | 
233     | 0.7587    | 0.7486    | 
234     | 0.7588    | 0.748     | 
235     | 0.7586    | 0.7479    | 
236     | 0.7587    | 0.7484    | 
237     | 0.7586    | 0.7483    | 
238     | 0.7588    | 0.7485    | 
239     | 0.7589    | 0.748     | 
240     | 0.7589    | 0.7481    | 
241     | 0.759     | 0.748     | 
242     | 0.7589    | 0.7481    | 
243     | 0.759     | 0.7481    | 
244     | 0.7591    | 0.7486    | 
245     | 0.7591    | 0.7488    | 
246     | 0.7591    | 0.7488    | 
247     | 0.7592    | 0.7488    | 
248     | 0.7594    | 0.7481    | 
249     | 0.7594    | 0.748     | 
250     | 0.7593    | 0.7479    | 
251     | 0.7594    | 0.7478    | 
252     | 0.7593    | 0.7482    | 
253     | 0.7594    | 0.7481    | 
254     | 0.7594    | 0.7486    | 
255     | 0.7595    | 0.748     | 
256     | 0.7595    | 0.748     | 
257     | 0.7593    | 0.7482    | 
258     | 0.7594    | 0.7483    | 
259     | 0.7597    | 0.7483    | 
260     | 0.7598    | 0.7484    | 
261     | 0.7598    | 0.7482    | 
262     | 0.7599    | 0.7483    | 
263     | 0.76      | 0.7481    | 
264     | 0.7601    | 0.7479    | 
265     | 0.7603    | 0.7483    | 
266     | 0.7604    | 0.7482    | 
267     | 0.7602    | 0.7482    | 
268     | 0.7603    | 0.7482    | 
269     | 0.7604    | 0.7481    | 
270     | 0.7603    | 0.748     | 
271     | 0.7604    | 0.7478    | 
272     | 0.7605    | 0.7478    | 
273     | 0.7604    | 0.7475    | 
274     | 0.7606    | 0.7476    | 
275     | 0.7604    | 0.7475    | 
276     | 0.7605    | 0.7476    | 
277     | 0.7605    | 0.748     | 
278     | 0.7605    | 0.7479    | 
279     | 0.7607    | 0.7477    | 
280     | 0.7606    | 0.7477    | 
281     | 0.7606    | 0.7478    | 
282     | 0.7606    | 0.7482    | 
283     | 0.7605    | 0.7483    | 
284     | 0.7604    | 0.7481    | 
285     | 0.7605    | 0.7481    | 
286     | 0.7607    | 0.7483    | 
287     | 0.7607    | 0.7487    | 
288     | 0.7609    | 0.7486    | 
289     | 0.7609    | 0.7485    | 
290     | 0.7609    | 0.7486    | 
291     | 0.761     | 0.7487    | 
292     | 0.7611    | 0.7488    | 
293     | 0.7613    | 0.749     | 
294     | 0.7614    | 0.749     | 
295     | 0.7614    | 0.749     | 
296     | 0.7612    | 0.7492    | 
297     | 0.7614    | 0.7491    | 
298     | 0.7615    | 0.7488    | 
299     | 0.7615    | 0.7487    | 
300     | 0.7616    | 0.7487    | 
301     | 0.7615    | 0.7488    | 
302     | 0.7615    | 0.7487    | 
303     | 0.7614    | 0.7489    | 
304     | 0.7615    | 0.7489    | 
305     | 0.7616    | 0.7492    | 
306     | 0.7616    | 0.7493    | 
307     | 0.7616    | 0.7493    | 
308     | 0.7616    | 0.7492    | 
309     | 0.7616    | 0.7491    | 
310     | 0.7617    | 0.7493    | 
311     | 0.7617    | 0.7494    | 
312     | 0.7617    | 0.7491    | 
313     | 0.7617    | 0.7489    | 
314     | 0.7617    | 0.749     | 
315     | 0.7618    | 0.7491    | 
316     | 0.7618    | 0.7491    | 
317     | 0.7617    | 0.749     | 
318     | 0.7617    | 0.749     | 
319     | 0.7618    | 0.7497    | 
320     | 0.7619    | 0.7497    | 
321     | 0.7619    | 0.7497    | 
322     | 0.7619    | 0.7497    | 
323     | 0.7619    | 0.7497    | 
324     | 0.762     | 0.7494    | 
325     | 0.7619    | 0.7494    | 
326     | 0.7622    | 0.7492    | 
327     | 0.7622    | 0.7493    | 
328     | 0.7625    | 0.7494    | 
329     | 0.7624    | 0.7497    | 
330     | 0.7625    | 0.7499    | 
331     | 0.7625    | 0.7499    | 
332     | 0.7625    | 0.7499    | 
333     | 0.7626    | 0.7496    | 
334     | 0.7626    | 0.7493    | 
335     | 0.7627    | 0.7492    | 
336     | 0.7626    | 0.7495    | 
337     | 0.7627    | 0.7494    | 
338     | 0.7628    | 0.749     | 
339     | 0.7629    | 0.7492    | 
340     | 0.7632    | 0.7492    | 
341     | 0.7631    | 0.7491    | 
342     | 0.7631    | 0.7491    | 
343     | 0.7629    | 0.7495    | 
344     | 0.7629    | 0.7495    | 
345     | 0.7628    | 0.7495    | 
346     | 0.763     | 0.7492    | 
347     | 0.7632    | 0.7494    | 
348     | 0.7632    | 0.7495    | 
349     | 0.7632    | 0.7496    | 
350     | 0.7633    | 0.7497    | 
351     | 0.7634    | 0.7493    | 
352     | 0.7635    | 0.7496    | 
353     | 0.7636    | 0.7496    | 
354     | 0.7637    | 0.7497    | 
355     | 0.7636    | 0.7496    | 
356     | 0.7636    | 0.7495    | 
357     | 0.7636    | 0.7495    | 
358     | 0.7636    | 0.7495    | 
359     | 0.7635    | 0.7495    | 
360     | 0.7639    | 0.7497    | 
361     | 0.764     | 0.7498    | 
362     | 0.7639    | 0.749     | 
363     | 0.7637    | 0.7491    | 
364     | 0.7637    | 0.7491    | 
365     | 0.7638    | 0.7496    | 
366     | 0.764     | 0.7497    | 
367     | 0.7641    | 0.7496    | 
368     | 0.7642    | 0.7496    | 
369     | 0.7642    | 0.7496    | 
370     | 0.7642    | 0.7495    | 
371     | 0.7642    | 0.7495    | 
372     | 0.7642    | 0.7499    | 
373     | 0.7643    | 0.7499    | 
374     | 0.7644    | 0.7499    | 
375     | 0.7643    | 0.75      | 
376     | 0.7642    | 0.7502    | 
377     | 0.7642    | 0.7501    | 
378     | 0.7641    | 0.75      | 
379     | 0.7642    | 0.7498    | 
380     | 0.7644    | 0.75      | 
381     | 0.7642    | 0.7499    | 
382     | 0.7642    | 0.7499    | 
383     | 0.7642    | 0.7501    | 
384     | 0.7642    | 0.75      | 
385     | 0.7642    | 0.7498    | 
386     | 0.7642    | 0.7497    | 
387     | 0.7642    | 0.7498    | 
388     | 0.7643    | 0.75      | 
389     | 0.7643    | 0.7496    | 
390     | 0.7643    | 0.7496    | 
391     | 0.7645    | 0.7495    | 
392     | 0.7645    | 0.7495    | 
393     | 0.7645    | 0.7496    | 
394     | 0.7645    | 0.7496    | 
395     | 0.7646    | 0.7499    | 
396     | 0.7645    | 0.7497    | 
397     | 0.7646    | 0.7494    | 
398     | 0.7646    | 0.7498    | 
399     | 0.7647    | 0.7499    | 
400     | 0.7647    | 0.7499    | 
401     | 0.7648    | 0.7498    | 
402     | 0.765     | 0.7494    | 
403     | 0.765     | 0.7492    | 
404     | 0.7652    | 0.749     | 
405     | 0.7652    | 0.749     | 
406     | 0.7652    | 0.749     | 
407     | 0.7653    | 0.7489    | 
408     | 0.7654    | 0.7489    | 
409     | 0.7654    | 0.7491    | 
410     | 0.7653    | 0.7492    | 
411     | 0.7653    | 0.7492    | 
412     | 0.7654    | 0.7492    | 
413     | 0.7654    | 0.7491    | 
414     | 0.7655    | 0.7491    | 
415     | 0.7654    | 0.7491    | 
416     | 0.7656    | 0.7491    | 
417     | 0.7658    | 0.749     | 
418     | 0.7658    | 0.7492    | 
419     | 0.7658    | 0.7495    | 
420     | 0.7659    | 0.7496    | 
421     | 0.7659    | 0.7499    | 
422     | 0.766     | 0.7496    | 
423     | 0.766     | 0.7494    | 
424     | 0.766     | 0.7494    | 
425     | 0.7659    | 0.7497    | 
426     | 0.766     | 0.7497    | 
427     | 0.7661    | 0.75      | 
428     | 0.7661    | 0.7498    | 
429     | 0.7661    | 0.7497    | 
430     | 0.7662    | 0.7496    | 
431     | 0.7663    | 0.7498    | 
432     | 0.7661    | 0.7504    | 
433     | 0.7659    | 0.7503    | 
434     | 0.766     | 0.7503    | 
435     | 0.7662    | 0.7495    | 
436     | 0.7662    | 0.75      | 
437     | 0.7662    | 0.75      | 
438     | 0.7662    | 0.75      | 
439     | 0.7662    | 0.75      | 
440     | 0.766     | 0.7497    | 
441     | 0.7667    | 0.7497    | 
442     | 0.7666    | 0.7496    | 
443     | 0.7667    | 0.7491    | 
444     | 0.7669    | 0.7489    | 
445     | 0.767     | 0.749     | 
446     | 0.7671    | 0.7492    | 
447     | 0.767     | 0.7493    | 
448     | 0.767     | 0.7491    | 
449     | 0.7672    | 0.7489    | 
450     | 0.7672    | 0.7489    | 
451     | 0.7672    | 0.7489    | 
452     | 0.767     | 0.7491    | 
453     | 0.767     | 0.7491    | 
454     | 0.767     | 0.7492    | 
455     | 0.7672    | 0.7489    | 
456     | 0.7672    | 0.7489    | 
457     | 0.7672    | 0.7489    | 
458     | 0.7674    | 0.7489    | 
459     | 0.7675    | 0.7489    | 
460     | 0.7674    | 0.7486    | 
461     | 0.7674    | 0.7486    | 
462     | 0.7672    | 0.7487    | 
463     | 0.7673    | 0.7486    | 
464     | 0.7673    | 0.7485    | 
465     | 0.7674    | 0.7485    | 
466     | 0.7675    | 0.7489    | 
467     | 0.7676    | 0.7491    | 
468     | 0.7677    | 0.7491    | 
469     | 0.7677    | 0.749     | 
470     | 0.7677    | 0.7491    | 
471     | 0.7675    | 0.7491    | 
472     | 0.7673    | 0.7491    | 
473     | 0.7676    | 0.749     | 
474     | 0.7675    | 0.7489    | 
475     | 0.7675    | 0.7484    | 
476     | 0.7678    | 0.7485    | 
477     | 0.7679    | 0.7489    | 
478     | 0.7679    | 0.749     | 
479     | 0.7678    | 0.749     | 
480     | 0.768     | 0.7488    | 
481     | 0.768     | 0.7491    | 
482     | 0.7679    | 0.7494    | 
483     | 0.7679    | 0.7495    | 
484     | 0.7681    | 0.7492    | 
485     | 0.7681    | 0.7492    | 
486     | 0.7681    | 0.7495    | 
487     | 0.7684    | 0.7494    | 
488     | 0.7684    | 0.7494    | 
489     | 0.7684    | 0.7494    | 
490     | 0.7684    | 0.7496    | 
491     | 0.7684    | 0.7496    | 
492     | 0.7684    | 0.7499    | 
493     | 0.7683    | 0.7497    | 
494     | 0.7683    | 0.7496    | 
495     | 0.7684    | 0.7499    | 
496     | 0.7682    | 0.7499    | 
497     | 0.7683    | 0.7497    | 
498     | 0.7683    | 0.7498    | 
499     | 0.7683    | 0.7498    | 
500     | 0.7682    | 0.7501    | 
501     | 0.7682    | 0.7499    | 
502     | 0.7684    | 0.7494    | 
503     | 0.7684    | 0.7496    | 
504     | 0.7685    | 0.7494    | 
505     | 0.7684    | 0.7494    | 
506     | 0.7685    | 0.7494    | 
507     | 0.7685    | 0.7494    | 
508     | 0.7686    | 0.7494    | 
509     | 0.7686    | 0.7496    | 
510     | 0.7686    | 0.7497    | 
511     | 0.7687    | 0.7495    | 
512     | 0.7687    | 0.7496    | 
513     | 0.7687    | 0.7496    | 
514     | 0.7686    | 0.7498    | 
515     | 0.7686    | 0.7497    | 
516     | 0.7688    | 0.7495    | 
517     | 0.7687    | 0.7496    | 
518     | 0.7687    | 0.7494    | 
519     | 0.7688    | 0.7494    | 
520     | 0.7688    | 0.7496    | 
521     | 0.7689    | 0.7496    | 
522     | 0.7689    | 0.7492    | 
523     | 0.769     | 0.7492    | 
524     | 0.769     | 0.7489    | 
525     | 0.769     | 0.749     | 
526     | 0.7692    | 0.7491    | 
527     | 0.7692    | 0.7491    | 
528     | 0.7693    | 0.7488    | 
529     | 0.7694    | 0.7488    | 
530     | 0.7694    | 0.7488    | 
531     | 0.7696    | 0.749     | 
532     | 0.7696    | 0.7493    | 
533     | 0.7698    | 0.7493    | 
---------------------------------
Finished sucessfully.
NDCG@20 on training data: 0.7661
NDCG@20 on validation data: 0.7504
---------------------------------
