
[+] General Parameters:
Training data:	task3_train_norm.txt
Train-Validation split: 0.8
Feature vector representation: Dense.
Ranking method:	RankBoost
Feature description file:	features.txt
Train metric:	NDCG@20
Test metric:	NDCG@20
Feature normalization: No

[+] RankBoost's Parameters:
No. of rounds: 300
No. of threshold candidates: 10

Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]... [Done.]            
(7033 ranked lists, 75057 entries read)
Initializing... [Done]
------------------------------------------
Training starts...
--------------------------------------------------------------------
#iter   | Sel. F.  | Threshold | Error     | NDCG@20-T | NDCG@20-V | 
--------------------------------------------------------------------
91      | 191      | 0.1129    | 0.0172    | 0.7193    | 0.7208    | 
92      | 56       | 0.1999    | 0.0168    | 0.7195    | 0.721     | 
93      | 227      | 0.1       | 0.0164    | 0.7196    | 0.721     | 
94      | 11       | 0.3       | 0.0163    | 0.7197    | 0.7211    | 
95      | 15       | 0.1859    | 0.0162    | 0.7198    | 0.721     | 
96      | 113      | 0.3308    | 0.0161    | 0.7199    | 0.721     | 
97      | 122      | 0.2581    | 0.0156    | 0.7199    | 0.7212    | 
98      | 149      | 0.3       | 0.0153    | 0.72      | 0.7218    | 
99      | 10       | 0.0998    | 0.0153    | 0.72      | 0.722     | 
100     | 2        | 0.9       | 0.0154    | 0.72      | 0.7224    | 
101     | 129      | 0.7758    | 0.0155    | 0.72      | 0.7223    | 
102     | 36       | 0.9       | 0.0151    | 0.7201    | 0.7223    | 
103     | 11       | 0.3       | 0.0151    | 0.7202    | 0.7224    | 
104     | 113      | 0.3308    | 0.0149    | 0.7202    | 0.7222    | 
105     | 134      | 0.3922    | 0.0148    | 0.7202    | 0.7219    | 
106     | 125      | 0.9       | 0.0148    | 0.7201    | 0.722     | 
107     | 12       | 0.9       | 0.0144    | 0.72      | 0.722     | 
108     | 227      | 0.1       | 0.0144    | 0.7202    | 0.722     | 
109     | 11       | 0.3       | 0.0141    | 0.7203    | 0.7221    | 
110     | 144      | 0.0992    | 0.014     | 0.7204    | 0.7223    | 
111     | 42       | 0.9       | 0.0144    | 0.7202    | 0.7222    | 
112     | 222      | 0.4       | 0.0152    | 0.7205    | 0.7222    | 
113     | 230      | 0.2024    | 0.014     | 0.7206    | 0.7221    | 
114     | 4        | 0.5       | 0.0139    | 0.7206    | 0.7221    | 
115     | 108      | 0.1929    | 0.0141    | 0.7206    | 0.7224    | 
116     | 165      | 0.8       | 0.014     | 0.7203    | 0.7215    | 
117     | 149      | 0.3       | 0.0138    | 0.7208    | 0.722     | 
118     | 113      | 0.3308    | 0.0137    | 0.7208    | 0.7219    | 
119     | 38       | 0.1       | 0.0136    | 0.7206    | 0.722     | 
120     | 181      | 0.328     | 0.0137    | 0.7207    | 0.7221    | 
121     | 11       | 0.3       | 0.0132    | 0.7207    | 0.7224    | 
122     | 3        | 0.1       | 0.0131    | 0.7208    | 0.7224    | 
123     | 31       | 0.3877    | 0.0131    | 0.7204    | 0.722     | 
124     | 105      | 0.7843    | 0.013     | 0.7208    | 0.7221    | 
125     | 112      | 0.9       | 0.0133    | 0.7203    | 0.722     | 
126     | 162      | 0.2999    | 0.0131    | 0.7205    | 0.7223    | 
127     | 144      | 0.0992    | 0.0128    | 0.7208    | 0.7221    | 
128     | 68       | 0.4703    | 0.0128    | 0.7207    | 0.722     | 
129     | 42       | 0.9       | 0.0129    | 0.7205    | 0.7222    | 
130     | 191      | 0.1129    | 0.0131    | 0.7206    | 0.7224    | 
131     | 181      | 0.328     | 0.0128    | 0.7207    | 0.7225    | 
132     | 113      | 0.3308    | 0.0126    | 0.7206    | 0.7224    | 
133     | 153      | 0.0996    | 0.0125    | 0.7207    | 0.7222    | 
134     | 11       | 0.3       | 0.0122    | 0.7208    | 0.7225    | 
135     | 10       | 0.0998    | 0.0122    | 0.7208    | 0.7228    | 
136     | 227      | 0.2       | 0.0119    | 0.7208    | 0.7228    | 
137     | 12       | 0.9       | 0.0118    | 0.7207    | 0.7227    | 
138     | 181      | 0.328     | 0.0119    | 0.7208    | 0.7227    | 
139     | 149      | 0.3       | 0.0118    | 0.721     | 0.7229    | 
140     | 122      | 0.2581    | 0.0118    | 0.7211    | 0.7227    | 
141     | 125      | 0.9       | 0.0117    | 0.7211    | 0.7229    | 
142     | 74       | 0.7       | 0.0115    | 0.7211    | 0.723     | 
143     | 134      | 0.3922    | 0.0115    | 0.721     | 0.7229    | 
144     | 227      | 0.2       | 0.0115    | 0.721     | 0.7229    | 
145     | 11       | 0.2       | 0.0114    | 0.721     | 0.723     | 
146     | 144      | 0.0992    | 0.0113    | 0.7213    | 0.7232    | 
147     | 113      | 0.3308    | 0.0112    | 0.7213    | 0.7231    | 
148     | 74       | 0.7       | 0.0111    | 0.7214    | 0.723     | 
149     | 2        | 0.9       | 0.0111    | 0.7212    | 0.723     | 
150     | 165      | 0.8       | 0.0114    | 0.7212    | 0.7226    | 
151     | 101      | 0.0827    | 0.0111    | 0.7214    | 0.7227    | 
152     | 129      | 0.1939    | 0.0111    | 0.7214    | 0.7228    | 
153     | 181      | 0.328     | 0.011     | 0.7214    | 0.7229    | 
154     | 38       | 0.1       | 0.0111    | 0.7217    | 0.7224    | 
155     | 227      | 0.2       | 0.0109    | 0.7217    | 0.7225    | 
156     | 11       | 0.2       | 0.0109    | 0.7217    | 0.7225    | 
157     | 3        | 0.2       | 0.0107    | 0.7217    | 0.7226    | 
158     | 149      | 0.3       | 0.0106    | 0.7219    | 0.7226    | 
159     | 74       | 0.7       | 0.0106    | 0.7221    | 0.7225    | 
160     | 67       | 0.4       | 0.0105    | 0.7221    | 0.7223    | 
161     | 42       | 0.9       | 0.0106    | 0.7217    | 0.7225    | 
162     | 230      | 0.2024    | 0.0108    | 0.7217    | 0.7225    | 
163     | 11       | 0.3       | 0.0106    | 0.7218    | 0.7225    | 
164     | 191      | 0.1694    | 0.0104    | 0.7218    | 0.7228    | 
165     | 164      | 0.9       | 0.0104    | 0.7219    | 0.7229    | 
166     | 227      | 0.2       | 0.0103    | 0.7219    | 0.723     | 
167     | 11       | 0.2       | 0.0102    | 0.7219    | 0.723     | 
168     | 181      | 0.328     | 0.0102    | 0.7219    | 0.723     | 
169     | 144      | 0.0992    | 0.0101    | 0.7221    | 0.7228    | 
170     | 74       | 0.7       | 0.0101    | 0.7221    | 0.7228    | 
171     | 147      | 0.6918    | 0.01      | 0.7218    | 0.7226    | 
172     | 11       | 0.2       | 0.01      | 0.7219    | 0.7226    | 
173     | 227      | 0.2       | 0.01      | 0.722     | 0.723     | 
174     | 164      | 0.9       | 0.0099    | 0.722     | 0.7229    | 
175     | 74       | 0.7       | 0.0097    | 0.722     | 0.7228    | 
176     | 2        | 0.9       | 0.0097    | 0.7221    | 0.7225    | 
177     | 162      | 0.2999    | 0.0098    | 0.7224    | 0.7225    | 
178     | 227      | 0.2       | 0.0098    | 0.7224    | 0.7225    | 
179     | 50       | 0.4198    | 0.0097    | 0.7224    | 0.7225    | 
180     | 11       | 0.2       | 0.0096    | 0.7224    | 0.7225    | 
181     | 164      | 0.9       | 0.0095    | 0.7224    | 0.7226    | 
182     | 227      | 0.2       | 0.0095    | 0.7224    | 0.7226    | 
183     | 134      | 0.3922    | 0.0094    | 0.7225    | 0.7227    | 
184     | 36       | 0.9       | 0.0095    | 0.7225    | 0.7229    | 
185     | 181      | 0.328     | 0.0094    | 0.7224    | 0.7229    | 
186     | 11       | 0.2       | 0.0093    | 0.7225    | 0.7229    | 
187     | 149      | 0.3       | 0.0092    | 0.7225    | 0.7235    | 
188     | 227      | 0.2       | 0.0092    | 0.7225    | 0.7235    | 
189     | 74       | 0.7       | 0.0092    | 0.7226    | 0.7235    | 
190     | 191      | 0.1694    | 0.0091    | 0.7226    | 0.7235    | 
191     | 42       | 0.9       | 0.0093    | 0.7223    | 0.7235    | 
192     | 222      | 0.4       | 0.0104    | 0.7226    | 0.7239    | 
193     | 164      | 0.9       | 0.0094    | 0.7227    | 0.7236    | 
194     | 105      | 0.7843    | 0.0093    | 0.723     | 0.7236    | 
195     | 95       | 0.0459    | 0.0093    | 0.723     | 0.7237    | 
196     | 164      | 0.9       | 0.0091    | 0.7231    | 0.7235    | 
197     | 129      | 0.7758    | 0.009     | 0.723     | 0.7236    | 
198     | 12       | 0.9       | 0.009     | 0.7231    | 0.7233    | 
199     | 113      | 0.3308    | 0.009     | 0.723     | 0.7234    | 
200     | 181      | 0.3936    | 0.0089    | 0.7231    | 0.7234    | 
201     | 161      | 0.1       | 0.0088    | 0.7231    | 0.7235    | 
202     | 4        | 0.5       | 0.0088    | 0.7231    | 0.7233    | 
203     | 74       | 0.7       | 0.0088    | 0.7231    | 0.7233    | 
204     | 11       | 0.2       | 0.0088    | 0.7231    | 0.7233    | 
205     | 147      | 0.6918    | 0.0088    | 0.7231    | 0.7233    | 
206     | 164      | 0.9       | 0.0087    | 0.7231    | 0.7233    | 
207     | 42       | 0.9       | 0.0088    | 0.7229    | 0.7231    | 
208     | 212      | 0.0645    | 0.009     | 0.7231    | 0.7234    | 
209     | 144      | 0.0992    | 0.0088    | 0.7232    | 0.7236    | 
210     | 11       | 0.3       | 0.0087    | 0.7231    | 0.7236    | 
211     | 181      | 0.3936    | 0.0086    | 0.7232    | 0.7235    | 
212     | 164      | 0.9       | 0.0085    | 0.7232    | 0.7235    | 
213     | 227      | 0.2       | 0.0085    | 0.7231    | 0.7235    | 
214     | 5        | 0.3499    | 0.0084    | 0.7231    | 0.7236    | 
215     | 74       | 0.7       | 0.0084    | 0.7231    | 0.7237    | 
216     | 108      | 0.1929    | 0.0084    | 0.7229    | 0.7236    | 
217     | 125      | 0.9       | 0.0085    | 0.7229    | 0.7235    | 
218     | 13       | 0.5994    | 0.0086    | 0.7228    | 0.7237    | 
219     | 216      | 0.9       | 0.0084    | 0.723     | 0.7239    | 
220     | 11       | 0.2       | 0.0084    | 0.723     | 0.724     | 
221     | 181      | 0.3936    | 0.0083    | 0.723     | 0.724     | 
222     | 161      | 0.1       | 0.0083    | 0.723     | 0.7241    | 
223     | 31       | 0.3877    | 0.0083    | 0.7229    | 0.724     | 
224     | 149      | 0.3       | 0.0083    | 0.723     | 0.724     | 
225     | 47       | 0.7561    | 0.0082    | 0.723     | 0.724     | 
226     | 164      | 0.9       | 0.0082    | 0.723     | 0.7241    | 
227     | 5        | 0.3499    | 0.0082    | 0.723     | 0.7241    | 
228     | 11       | 0.2       | 0.0081    | 0.7231    | 0.7241    | 
229     | 3        | 0.2       | 0.0081    | 0.723     | 0.7241    | 
230     | 112      | 0.9       | 0.0081    | 0.7228    | 0.7239    | 
231     | 181      | 0.3936    | 0.008     | 0.7228    | 0.7239    | 
232     | 47       | 0.7561    | 0.008     | 0.7229    | 0.7239    | 
233     | 191      | 0.2259    | 0.008     | 0.7229    | 0.7239    | 
234     | 161      | 0.1       | 0.0079    | 0.7229    | 0.7239    | 
235     | 74       | 0.7       | 0.0078    | 0.7229    | 0.7239    | 
236     | 105      | 0.6863    | 0.0078    | 0.7228    | 0.724     | 
237     | 95       | 0.0459    | 0.0081    | 0.7228    | 0.7234    | 
238     | 181      | 0.3936    | 0.0078    | 0.7228    | 0.7234    | 
239     | 68       | 0.4703    | 0.0078    | 0.7229    | 0.7234    | 
240     | 5        | 0.3499    | 0.0077    | 0.7229    | 0.7235    | 
241     | 164      | 0.9       | 0.0077    | 0.7229    | 0.7235    | 
242     | 42       | 0.9       | 0.0078    | 0.7226    | 0.7234    | 
243     | 69       | 0.2958    | 0.0079    | 0.7229    | 0.7235    | 
244     | 11       | 0.2       | 0.0078    | 0.723     | 0.7235    | 
245     | 164      | 0.9       | 0.0077    | 0.723     | 0.7235    | 
246     | 227      | 0.2       | 0.0077    | 0.7231    | 0.7235    | 
247     | 144      | 0.0992    | 0.0077    | 0.7232    | 0.7234    | 
248     | 38       | 0.1       | 0.0077    | 0.723     | 0.7234    | 
249     | 11       | 0.3       | 0.0076    | 0.723     | 0.7235    | 
250     | 47       | 0.7561    | 0.0076    | 0.723     | 0.7235    | 
251     | 181      | 0.3936    | 0.0075    | 0.723     | 0.7234    | 
252     | 134      | 0.3922    | 0.0075    | 0.7229    | 0.7236    | 
253     | 5        | 0.3499    | 0.0075    | 0.7229    | 0.7237    | 
254     | 126      | 0.5       | 0.0075    | 0.7231    | 0.7238    | 
255     | 227      | 0.2       | 0.0075    | 0.7231    | 0.7238    | 
256     | 47       | 0.7561    | 0.0074    | 0.7232    | 0.7238    | 
257     | 164      | 0.9       | 0.0074    | 0.7232    | 0.7239    | 
258     | 12       | 0.9       | 0.0074    | 0.7231    | 0.7237    | 
259     | 11       | 0.2       | 0.0074    | 0.7232    | 0.7237    | 
260     | 161      | 0.1       | 0.0073    | 0.7232    | 0.7237    | 
261     | 181      | 0.3936    | 0.0073    | 0.7232    | 0.7238    | 
262     | 165      | 0.8       | 0.0073    | 0.7231    | 0.7237    | 
263     | 2        | 0.9       | 0.0077    | 0.7231    | 0.7238    | 
264     | 113      | 0.3308    | 0.0073    | 0.7231    | 0.7238    | 
265     | 74       | 0.7       | 0.0073    | 0.7232    | 0.7238    | 
266     | 191      | 0.2259    | 0.0072    | 0.7232    | 0.7239    | 
267     | 106      | 0.9       | 0.0072    | 0.7232    | 0.7239    | 
268     | 47       | 0.7561    | 0.0071    | 0.7233    | 0.7239    | 
269     | 125      | 0.9       | 0.0071    | 0.7232    | 0.7236    | 
270     | 11       | 0.2       | 0.0071    | 0.7232    | 0.7237    | 
271     | 161      | 0.1       | 0.0071    | 0.7232    | 0.7237    | 
272     | 5        | 0.3499    | 0.0071    | 0.7232    | 0.7237    | 
273     | 106      | 0.9       | 0.0071    | 0.7232    | 0.7237    | 
274     | 164      | 0.9       | 0.007     | 0.7232    | 0.7237    | 
275     | 56       | 0.1       | 0.007     | 0.7233    | 0.7241    | 
276     | 42       | 0.9       | 0.0073    | 0.723     | 0.7235    | 
277     | 222      | 0.4       | 0.008     | 0.7235    | 0.7235    | 
278     | 164      | 0.9       | 0.0071    | 0.7234    | 0.7235    | 
279     | 181      | 0.3936    | 0.007     | 0.7234    | 0.7235    | 
280     | 106      | 0.9       | 0.007     | 0.7235    | 0.7236    | 
281     | 144      | 0.0992    | 0.007     | 0.7235    | 0.7229    | 
282     | 50       | 0.4198    | 0.007     | 0.7235    | 0.723     | 
283     | 106      | 0.9       | 0.0069    | 0.7235    | 0.7231    | 
284     | 227      | 0.2       | 0.0069    | 0.7234    | 0.7231    | 
285     | 149      | 0.3       | 0.0069    | 0.7234    | 0.723     | 
286     | 47       | 0.7561    | 0.0069    | 0.7235    | 0.723     | 
287     | 106      | 0.9       | 0.0068    | 0.7235    | 0.723     | 
288     | 181      | 0.3936    | 0.0068    | 0.7235    | 0.7231    | 
289     | 5        | 0.3499    | 0.0068    | 0.7235    | 0.7231    | 
290     | 164      | 0.9       | 0.0068    | 0.7235    | 0.723     | 
291     | 147      | 0.6918    | 0.0068    | 0.7235    | 0.7231    | 
292     | 11       | 0.2       | 0.0068    | 0.7235    | 0.7232    | 
293     | 106      | 0.9       | 0.0068    | 0.7235    | 0.7232    | 
294     | 227      | 0.2       | 0.0067    | 0.7235    | 0.7231    | 
295     | 47       | 0.7561    | 0.0067    | 0.7234    | 0.7232    | 
296     | 4        | 0.5       | 0.0067    | 0.7234    | 0.7233    | 
297     | 42       | 0.9       | 0.0067    | 0.7233    | 0.7234    | 
298     | 191      | 0.0565    | 0.0067    | 0.7234    | 0.7233    | 
299     | 164      | 0.9       | 0.0067    | 0.7234    | 0.7233    | 
300     | 106      | 0.9       | 0.0066    | 0.7234    | 0.7233    | 
--------------------------------------------------------------------
Finished sucessfully.
NDCG@20 on training data: 0.7233
NDCG@20 on validation data: 0.7241
---------------------------------
